путин россия президент война,...Идет война. Путин напал на Украину. Путин угрожает ядерным оружием…,1066
война мир,"“Ничто не может оправдать войну и насилие!”, “Хочется закричать от бессилия и боли!”",555
украина украинский флаг украинец зеленский,"“Вот так происходит ""спасение"" Украины со стороны РФ”, “...На повестке дня встреча с Зеленским, где планируется обсудить оказание помощи Украинской армии и гражданскому населению…”",316
ребенок мать мама родитель,"“Сынов России БРОСИЛИ как пушечное МЯСО!“, “В Ясногорске Тульской области молодая мама сорвала буквы Z с окон детского сада”, “Люди помните, что страдают не только взрослые, но и дети…”",297
санкция компания газ нефть россия,"...Годовая инфляция на россии ускорилась до 15,6% по состоянию на 25 марта этого года. Неделей раньше было 14,53%. За месяц цены на россии выросли на 7,6%…",181
погибать потеря погибший раненый российский,"“По вокзалу Краматорска ударили ракетой с надписью «За детей». Погибли 50 человек (в том числе пять детей)…”, “По данным ведомства, на 25 марта  погиб 1 351 военнослужащий, 3 825 получили ранения.”",150
район сообщать пожар взрыв обстрел,"“Мэр Днепра Борис Филатов подтвердил взрывы в городе...”, “Сегодня ночью враг нанес ряд ракетных ударов по Запорожской области. Об этом сообщил глава ОГА Александр Старух…”",115
фашизм победа путь фашист нацист,"“Что вы там забыли??? Окупанты и фашисты!”, “Вот, что осталось от Бородяновки. А вы еще верите, что в Украине воюют с нацистами?”",178
видео канал российский журналист заблокировать,"“Десятки российских артистов, телеведущих и других знаменитостей выступили в социальных сетях против военных действий России на Украине…”, “...от угрозы блокировки и закрытия изданий (почти полностью реализованной) перешла к угрозе уголовного преследования как журналистов, так и граждан, которые распространяют информацию о боевых действиях, отличную от пресс-релизов Минобороны…”",180
суд судья дело уголовный адвокат,,131
антивоенный акция митинг активист протест,,241
