Ключевые слова,Цитаты,Количество постов
президент путин поддерживать решение владимир,Я поддерживаю решение нашего президента Владимира Путина.,2891
нацизм фашизм победа наш дед,"...как 77 лет назад наши деды и прадеды остановили фашизм, так и сейчас наша армия, которая борется все с тем же злом, обязательно победит. <...> К сожалению, на Западе забыли уроки истории. Но мы верим, мы знаем, Победа будет за нами!",1209
информация информационный фейк источник правда,"...Против России развернута масштабная информационная война. <...> Ложь, которая распространяется в информационном пространстве – это, по сути, оружие массового поражения, нацеленное на всех нас, на наши умы и сердца. …",965
запад западный санкция общество россия,"…В ответ на все попытки Запада информационного, экономического, психологического и гуманитарного давления российский народ объединился. …",1008
патриотизм родина любовь гордиться любить,"...Родина для меня дороже жизни. И это не громкие слова и не пафос. Родина дает возможность чувствовать себя в безопасности, чувствовать себя счастливым в своей семье, с друзьями, быть успешным в карьере. …",1088
акция поддержка поддерживать проходить участие,"Акции и флешмобы в поддержку российских военнослужащих, главным символом которых стала латинская буква Z, проходят практически во всех регионах страны. Наш посёлок не стал исключением…",632
мир пусть нужный планета небо,Мы за МИР! Мы вместе! За МИР во всем мире!,1843
донецк обстрел удар центр погибать,Киевский режим совершил очередное военное преступление – ракетный удар по центру Донецка с применением кассетных зарядов. Цель очевидна – максимум жертв среди мирных жителей…,755
видео украинский фейк буча тело,"...Киевские радикалы уничтожают свой народ, организовывая провокации с массовыми расстрелами. Россия запросила заседание Совбеза ООН по ситуации в Буче…",443
единый вместе народ единство друг,"У нас получилось главное, поддерживая страну, стать по-настоящему едиными! Это не просто слова. Сейчас эти строки звучат в мыслях и душах почти каждого русского человека…",446
война донбасс не заканчивать житель,"...Россия никогда за всю историю человечества не начинала войн, но всегда их заканчивала. Наша главная цель - обеспечить безопасность жителям Донбасса…",333
