,"нацизм, фашизм, победа, наш, дед","президент, поддерживать, решение, армия, принимать","путин, владимир, президент, владимирович, поддерживать","информация, информационный, фейк, источник, правда","запад, западный, санкция, общество, россия","патриотизм, родина, любовь, гордиться, любить","акция, поддержка, поддерживать, проходить, участие","мир, пусть, нужный, планета, небо","донецк, обстрел, удар, центр, погибать","видео, украинский, фейк, буча, тело","единый, вместе, народ, единство, друг","помощь, спасибо, сбор, ребята, помогать","война, донбасс, не, заканчивать, житель","мобилизация, частичный, служба, специальность, опыт","зеленский, визит, украина, сша, западный","февраль, 24, 2022, операция, владимир","суд, преступление, уголовный, задерживать, украинский","ты, пусть, враг, русский, хранить","вооружение, сша, поставка, оружие, доллар"
0,14,153,134,61,14,5,11,70,37,18,6,5,22,1,17,45,7,2,2
1,363,971,712,385,174,265,220,580,214,85,129,38,117,20,99,123,14,35,15
2,318,498,427,210,267,269,98,445,41,138,106,24,54,3,88,48,38,27,35
3,271,236,175,49,83,100,61,176,46,31,35,17,18,6,46,44,19,7,29
4,130,180,181,41,56,73,21,60,88,29,21,20,11,3,31,20,12,11,22
5,68,106,142,57,33,79,30,73,43,20,15,21,7,1,27,8,12,9,15
6,65,108,117,30,34,48,28,86,47,19,16,10,5,2,34,7,29,9,12
7,86,104,159,38,39,61,27,56,27,18,25,23,14,240,32,9,9,12,11
8,64,41,78,31,31,41,34,41,12,8,10,57,2,58,29,5,14,16,6
9,52,29,74,21,9,46,24,32,15,20,15,34,2,31,35,2,6,8,8
10,33,43,62,13,16,31,23,27,24,7,1,19,4,14,50,6,7,9,5
11,57,40,71,12,14,26,14,23,10,8,6,26,1,11,26,3,6,3,11
12,71,22,77,15,23,30,41,27,7,9,8,39,3,23,22,41,4,5,10
